companyid	company_name	cusip	MSCIsec	sedol
QS8F5N-S-US	DDR Corp.	23317H10	Financials	B6S2DF
NNL4JN-S-US	Dillard's Inc.	25406710	Consumer Discretionary	226976
G5FWH0-S-US	Deere & Co.	24419910	Industrials	226120
GV0V6Q-S-US	Deckers Outdoor Corp.	24353710	Consumer Discretionary	226727
NZQBSJ-S-US	Douglas Emmett Inc.	25960P10	Financials	B1G3M5
J5Y11Z-S-US	Deltic Timber Corp.	24785010	Materials	226743
FGX1S8-S-US	Dell Inc.	24702R10	Information Technology	226152
TWS419-S-US	Denny's Corp.	24869P10	Consumer Discretionary	225058
SM6FG2-S-US	Depomed Inc.	24990810	Health Care	210017
FBB1Z0-S-US	Destination Maternity Corp	25065D10	Consumer Discretionary	260591
QTFPBP-S-US	Dean Foods Co.	24237010	Consumer Staples	BD5JS9
PJHQD0-S-US	Del Frisco's Restaurant Gr	24507710	Consumer Discretionary	B8B204
KNF6LD-S-US	Discover Financial Service	25470910	Financials	B1YLC4
FFVZR9-S-US	DuPont Fabros Technology I	26613Q10	Financials	B28HRD
J756WT-S-US	R.G. Barry Corp.	6879810	Consumer Discretionary	208180
RMMHNL-S-US	Dollar General Corp.	25667710	Consumer Discretionary	B5B1S1
M2M9P6-S-US	Delta Natural Gas Co. Inc.	24774810	Utilities	226198
D41SQY-S-US	DigitalGlobe Inc.	25389M87	Industrials	B0V025
TRCKL4-S-US	Donegal Group Inc.	25770120	Financials	275273
RDPYB3-S-US	Digi International Inc.	25379810	Information Technology	226966
TF0G4S-S-US	Digital Generation Inc.	25400B10	Consumer Discretionary	B6SRZX
QPZXQH-S-US	Quest Diagnostics Inc.	74834L10	Health Care	270279
VVFQYB-S-US	D.R. Horton Inc.	23331A10	Consumer Discretionary	225068
MTGV04-S-US	Diamond Hill Investment Gr	25264R20	Financials	280113
NK1C4M-S-US	Danaher Corp.	23585110	Industrials	225087
WRT20K-S-US	Dice Holdings Inc.	25301710	Information Technology	B23DMS
GJYDFL-S-US	DineEquity Inc.	25442310	Consumer Discretionary	245695
WL4NGY-S-US	Diodes Inc.	25454310	Information Technology	227050
K8YTSW-S-US	The Walt Disney Co.	25468710	Consumer Discretionary	227072
DP3GXZ-S-US	Discovery Communications I	25470F10	Consumer Discretionary	B3D7K3
X7KY98-S-US	DISH Network Corp.	25470M10	Consumer Discretionary	230358
SGN2WF-S-US	Daily Journal Corp.	23391210	Consumer Discretionary	225158
XGC45J-S-US	Delek US Holdings Inc.	24664710	Energy	B142DK
F5TFNZ-S-US	Dick's Sporting Goods Inc.	25339310	Consumer Discretionary	296963
KZNQ4C-S-US	Delta Apparel Inc.	24736810	Consumer Discretionary	260324
SRN308-S-US	Dolby Laboratories Inc.	25659T10	Information Technology	B04NJM
HD3F7Q-S-US	DFC Global Corp.	23324T10	Financials	B6SM9H
WC0FKB-S-US	Delphi Automotive Plc	G2782310	Consumer Discretionary	B783TY
WB8GRS-S-US	Digital Realty Trust Inc.	25386810	Financials	B03GQS
N81W08-S-US	Dollar Tree Inc.	25674610	Consumer Discretionary	227247
WZH4ZX-S-US	Deluxe Corp.	24801910	Industrials	226036
VYTJTP-S-US	The Dolan Co.	25659P40	Industrials	B23J68
NXQ488-S-US	Demand Media Inc.	24802N10	Information Technology	B3RWW4
PN4KGS-S-US	Diamond Foods Inc.	25260310	Consumer Staples	B081PN
FWCK13-S-US	Digimarc Corp.	25381B10	Information Technology	B3F05P
Q2PLKZ-S-US	Dun & Bradstreet Corp.	2.65E+14	Industrials	263625
MYZNPC-S-US	Dendreon Corp.	24823Q10	Health Care	260254
PKF3DJ-S-US	Dunkin' Brands Group Inc.	26550410	Consumer Discretionary	B3LHT0
JS364H-S-US	Denbury Resources Inc.	24791620	Energy	241847
PD9BLJ-S-US	Diamond Offshore Drilling	25271C10	Energy	226102
W2C1TL-S-US	Dole Food Co. Inc.	25660310	Consumer Staples	B551JT
TXX939-S-US	Dorman Products Inc.	25827810	Consumer Discretionary	271859
VXR79F-S-US	Dover Corp.	26000310	Industrials	227840
R1CXVP-S-US	The Dow Chemical Co.	26054310	Materials	227871
SKY5L7-S-US	Amdocs Ltd.	G0260210	Information Technology	225690
T6CYB1-S-US	Dr. Pepper Snapple Group I	2.61E+14	Consumer Staples	B2QW0Z
L8T0G7-S-US	Domino's Pizza Inc.	25754A20	Consumer Discretionary	B01SD7
FJ731S-S-US	Dresser-Rand Group Inc.	26160810	Energy	B0G0V7
JWHCR6-S-US	Duke Realty Corp.	26441150	Financials	228408
M1NVHK-S-US	DiamondRock Hospitality Co	25278430	Financials	B090B9
L6CF99-S-US	Darden Restaurants Inc.	23719410	Consumer Discretionary	228987
J4RNPV-S-US	Digital River Inc.	25388B10	Information Technology	228461
XLV00V-S-US	Doral Financial Corp.	25811P88	Financials	BBTB35
FV7VRF-S-US	Dril-Quip Inc.	26203710	Energy	211676
TR6L6L-S-US	Durata Therapeutics Inc.	26658A10	Health Care	B8DMLY
X8QL8Q-S-US	Derma Sciences Inc.	24982750	Health Care	244430
BGXCVY-S-US	Discovery Laboratories Inc	25466840	Health Care	213002
WZMMJ3-S-US	DSP Group Inc.	23332B10	Information Technology	227568
CHPMZL-S-US	DST Systems Inc.	23332610	Information Technology	228294
FV9FRX-S-US	DSW Inc.	23334L10	Consumer Discretionary	B0BV2V
GJSPG5-S-US	DTE Energy Co.	23333110	Utilities	228022
WTYJSY-S-US	Datalink Corp.	23793410	Information Technology	248134
Q63PYK-S-US	DTS Inc.	23335C10	Information Technology	264110
X9QST0-S-US	DIRECTV	25490A30	Consumer Discretionary	B84LSN
RPTTVL-S-US	Duke Energy Corp.	26441C20	Utilities	B7VD3F
MZ0G63-S-US	DeVry Education Group Inc.	25189310	Consumer Discretionary	226760
N03PH7-S-US	DaVita Healthcare Partners	23918K10	Health Care	289808
HHGZNV-S-US	Dynavax Technologies Corp.	26815810	Health Care	269873
TWYMJG-S-US	Devon Energy Corp.	25179M10	Energy	248067
JFXXVM-S-US	Cal Dive International Inc	12802T10	Energy	B1L5W9
LSHRT1-S-US	Drew Industries Inc.	26168L20	Consumer Discretionary	228069
M3Y5MK-S-US	DreamWorks Animation SKG I	26153C10	Consumer Discretionary	B03BLR
PVP941-S-US	Demandware Inc.	24802Y10	Information Technology	B7GYKF
VNM4HV-S-US	Dawson Geophysical Co.	23935910	Energy	225848
H4050X-S-US	Dynex Capital Inc.	26817Q50	Financials	271868
GDBBLB-S-US	DexCom Inc.	25213110	Health Care	B0796X
PX1T6Y-S-US	Destination XL Group Inc.	25065K10	Consumer Discretionary	B86P8R
KDHSJ2-S-US	DXP Enterprises Inc.	23337740	Industrials	227662
NMFZGN-S-US	Dycom Industries Inc.	26747510	Information Technology	228984
M2M8M5-S-US	Dyax Corp.	2.67E+14	Health Care	262148
P7Q9Q7-S-US	Electronic Arts Inc.	28551210	Information Technology	231019
JCR09W-S-US	Brinker International Inc.	10964110	Consumer Discretionary	219354
S5G28Y-S-US	EBay Inc.	27864210	Information Technology	229381
VZTYR5-S-US	Ennis Inc.	29338910	Industrials	231610
GJZHJM-S-US	Ebix Inc.	27871520	Information Technology	200840
BBG7D9-S-US	Emergent BioSolutions Inc.	29089Q10	Health Care	B1HJLW
J85751-S-US	Meridian Interstate Bancor	58964Q10	Financials	B285M3
GST9MH-S-US	Enterprise Bancorp Inc.	29366810	Financials	B00K2L
NL7L8P-S-US	Echo Global Logistics Inc.	27875T10	Industrials	B4M7GZ
L46MXM-S-US	Ecolab Inc.	27886510	Materials	230422
BZSY96-S-US	US Ecology Inc.	91732J10	Industrials	277239
DSFPSV-S-US	Encore Capital Group Inc.	29255410	Financials	244307
HKYGNR-S-US	Endocyte Inc.	29269A10	Health Care	B40DYZ
D506QF-S-US	Consolidated Edison Inc.	20911510	Utilities	221685
HKS15J-S-US	Empire District Electric C	29164110	Utilities	231380
SVXHJK-S-US	Edgen Group Inc.	28014Q10	Industrials	B7SQN2
J5ZVNT-S-US	Education Management Corp.	28140M10	Consumer Discretionary	B4WB84
WNH2LX-S-US	Education Realty Trust Inc	28140H10	Financials	B04NJN
GX4HFB-S-US	El Paso Electric Co.	28367785	Utilities	285180
BNL2ZV-S-US	Euronet Worldwide Inc.	29873610	Information Technology	232014
GKY2ZD-S-US	Electronics For Imaging In	28608210	Information Technology	231020
KM6BBV-S-US	Enterprise Financial Servi	29371210	Financials	276888
NL59TF-S-US	Equifax Inc.	29442910	Industrials	231914
WTZNZ0-S-US	Eagle Bancorp Inc. (Maryla	26894810	Financials	264805
TP4L0D-S-US	8x8 Inc.	28291410	Telecommunication Serv	203717
PKRC28-S-US	Engility Holdings Inc.	29285W10	Industrials	B83M6H
H1TVNR-S-US	Energen Corp.	29265N10	Energy	201267
QYZBLP-S-US	NIC Inc.	62914B10	Information Technology	243812
M09XJ6-S-US	EastGroup Properties Inc.	27727610	Financials	245576
CC62TM-S-US	VAALCO Energy Inc.	91851C20	Energy	293335
H0SBN7-S-US	EHealth Inc.	28238P10	Financials	B1G0F8
MBM9NY-S-US	Employers Holdings Inc.	29221810	Financials	B1Q1RR
FS6HXZ-S-US	Eastern Insurance Holdings	27653410	Financials	B0MSV8
N03TRC-S-US	Edison International	28102010	Utilities	282951
BFMGRH-S-US	Estee Lauder Cos. Inc.	51843910	Consumer Staples	232052
XP6G3S-S-US	Endologix Inc.	29266S10	Health Care	217775
DGFSW4-S-US	Ellie Mae Inc.	28849P10	Information Technology	B532X7
D2RS98-S-US	EarthLink Inc.	27032110	Information Technology	254398
J9FFTQ-S-US	Echelon Corp.	27874N10	Information Technology	228537
WW43K8-S-US	Electro Rent Corp.	28521810	Information Technology	231038
G11LK3-S-US	Equity LifeStyle Propertie	29472R10	Financials	256312
MVF83R-S-US	Emulex Corp.	29247520	Information Technology	231442
C9WMNN-S-US	Callaway Golf Co.	13119310	Consumer Discretionary	217393
G25QK2-S-US	EMC Corp.	26864810	Information Technology	229517
BRVC3W-S-US	EMC Insurance Group Inc.	26866410	Financials	229526
QS9KBQ-S-US	EMCOR Group Inc.	29084Q10	Industrials	247416
SD7YGV-S-US	Eastern Co.	27631710	Industrials	230008
WNDVBT-S-US	Eastman Chemical Co.	27743210	Materials	229838
KZJ3C1-S-US	Emerson Electric Co.	29101110	Industrials	231340
TMZ7Q9-S-US	Endeavour International Co	29259G20	Energy	295540
WHW98X-S-US	Endo Health Solutions Inc.	29264F20	Health Care	261228
QVQD1Y-S-US	Endurance Specialty Holdin	G3039710	Financials	235301
GQQ389-S-US	EnerNOC Inc.	29276410	Information Technology	B1XKFG
GJKP6Q-S-US	Enphase Energy Inc.	29355A10	Industrials	B65SQW
W7XR1J-S-US	Energizer Holdings Inc.	29266R10	Consumer Staples	256929
WCD2S8-S-US	EnerSys Inc.	29275Y10	Industrials	B020GQ
D8JSVD-S-US	The Ensign Group Inc.	29358P10	Health Care	B1YWPP
R4SH5R-S-US	Entegris Inc.	29362U10	Information Technology	259970
R6WLGZ-S-US	Entropic Communications In	29384R10	Information Technology	B29VF1
FWNZXV-S-US	Envestnet Inc.	29404K10	Information Technology	B474ZK
D24YCL-S-US	Envivio Inc.	29413T10	Information Technology	B3Q5FF
NB725B-S-US	Enzon Pharmaceuticals Inc.	29390410	Health Care	231866
W926PT-S-US	EOG Resources Inc.	26875P10	Energy	231802
P8KBGS-S-US	E2open Inc.	29788A10	Information Technology	B8BZB4
GHQ8QT-S-US	Emerald Oil Inc.	29101U20	Energy	B8Q67F
WG9TZK-S-US	EPAM Systems Inc.	29414B10	Information Technology	B44Z3T
S7Q60R-S-US	Bottomline Technologies In	10138810	Information Technology	238955
FQTN5R-S-US	EPIQ Systems Inc.	26882D10	Information Technology	237133
Q4YSFV-S-US	EPL Oil & Gas Inc.	26883D10	Energy	B83L9Z
D2WX54-S-US	Evolution Petroleum Corp.	30049A10	Energy	236778
G0Y61X-S-US	EPR Properties	26884U10	Financials	B8XXZP
JPYYTB-S-US	Equinix Inc.	29444U50	Information Technology	220475
CN301K-S-US	Equity Residential	29476L10	Financials	231915
PRN3HN-S-US	EQT Corp.	26884L10	Utilities	231941
TF08TM-S-US	Equity One Inc.	29475210	Financials	224632
Q3CNSS-S-US	Era Group Inc.	26885G10	Energy	B8KM2D
B5QFDJ-S-US	Erie Indemnity Co.	29530P10	Financials	231171
XP7RR4-S-US	Energy Recovery Inc.	29270J10	Industrials	B3B5J0
D2WSZ1-S-US	ESB Financial Corp.	26884F10	Financials	248246
J5X030-S-US	Emeritus Corp.	29100510	Health Care	231349
VBJLDJ-S-US	ESCO Technologies Inc.	29631510	Industrials	232158
PZHYFD-S-US	Enstar Group Ltd.	G3075P10	Financials	B1Q76J
X69QHG-S-US	ITT Educational Services I	45068B10	Consumer Discretionary	245237
W37WSL-S-US	Electro Scientific Industr	28522910	Information Technology	231044
KPM0SY-S-US	Esterline Technologies Cor	29742510	Industrials	232204
VQWFKT-S-US	Express Scripts Holding Co	30219G10	Health Care	B7QQYV
LG8VCM-S-US	Essex Property Trust Inc.	29717810	Financials	231661
B2CCYW-S-US	ESSA Bancorp Inc.	29667D10	Financials	B1VXG4
JL8XFF-S-US	ExactTarget Inc.	30064K10	Information Technology	B7LRJ4
KQKRHV-S-US	E*TRADE Financial Corp.	26924640	Financials	229901
SRM45C-S-US	Ethan Allen Interiors Inc.	29760210	Consumer Discretionary	232082
QWV4BK-S-US	Entercom Communications Co	29363910	Consumer Discretionary	238289
KZJCW9-S-US	Eaton Corp. Plc	G2918310	Industrials	B8KQN8
WSV8FS-S-US	Entergy Corp.	29364G10	Utilities	231708
NZRWW3-S-US	EnteroMedics Inc.	29365M20	Health Care	B1YWPV
VBDMVT-S-US	Eaton Vance Corp.	27826510	Financials	230105
NL5F0J-S-US	Entravision Communications	29382R10	Consumer Discretionary	261511
QBLJVZ-S-US	EverBank Financial Corp.	29977G10	Financials	B64D2M
WL2PR3-S-US	Evercore Partners Inc.	29977A10	Financials	B1BHXZ
FWHW51-S-US	Edwards Lifesciences Corp.	2.82E+14	Health Care	256711
NL48VG-S-US	East West Bancorp Inc.	27579R10	Financials	248740
VQPJFD-S-US	Exa Corp.	30061450	Information Technology	B7Y48V
WL4VW4-S-US	ExacTech Inc.	3.01E+14	Health Care	230635
FVQJR6-S-US	ExamWorks Group Inc.	30066A10	Health Care	B4N8VP
QS9MGS-S-US	Exar Corp.	30064510	Information Technology	232520
G3C518-S-US	EXACT Sciences Corp.	30063P10	Health Care	271995
HG5T14-S-US	Exelon Corp.	30161N10	Utilities	267051
X1RTS7-S-US	Exelixis Inc.	30161Q10	Health Care	257694
CSS0MN-S-US	Exterran Holdings Inc.	30225X10	Energy	B241SX
JFYRKJ-S-US	Excel Trust Inc.	30068C10	Financials	B563VF
LBZ3F6-S-US	ExlService Holdings Inc.	30208110	Information Technology	B07LST
KM9MMY-S-US	Eagle Materials Inc.	26969P10	Materials	219139
X42FBF-S-US	Expeditors International O	30213010	Industrials	232550
WSWSB6-S-US	Expedia Inc.	30212P30	Consumer Discretionary	B748CK
Q53LMC-S-US	Exponent Inc.	30214U10	Industrials	233031
TD4ZNY-S-US	Express Inc.	3.02E+14	Consumer Discretionary	B464DZ
PPDFM8-S-US	Extra Space Storage Inc.	30225T10	Financials	B02HWR
GX95BQ-S-US	Extreme Networks Inc.	30226D10	Information Technology	240705
RPR4R2-S-US	Energy XXI (Bermuda) Ltd.	G1008214	Energy	B1YBPT
G9ZCDV-S-US	EZCORP Inc.	30230110	Financials	232628
LHLM3W-S-US	Ford Motor Co.	34537086	Consumer Discretionary	261546
PX9JZ6-S-US	First American Financial C	31847R10	Financials	B4NFPK
D78DL9-S-US	FalconStor Software Inc.	30613710	Information Technology	262975
DR9WKB-S-US	Diamondback Energy Inc.	25278X10	Energy	B7Y8YR
WL03TP-S-US	Farmer Brothers Co.	30767510	Consumer Staples	233178
NW89N2-S-US	FARO Technologies Inc.	31164210	Information Technology	210666
D1QS87-S-US	Fastenal Co.	31190010	Industrials	233226
BHM9TN-S-US	Facebook Inc.	30303M10	Information Technology	B7TL82
HK3M7C-S-US	Fortune Brands Home & Secu	34964C10	Industrials	B3MC7D
STZYZN-S-US	First Bancorp (North Carol	31891010	Financials	235149
C7195R-S-US	First Connecticut Bancorp	31985010	Financials	B3ZHVN
TF4SDV-S-US	First BanCorp (Puerto Rico	31867270	Financials	229692
N4M05Z-S-US	FBR & Co.	30247C40	Financials	B8N06L
L9XVXY-S-US	Franklin Covey Co.	35346910	Industrials	235283
L2Z5KJ-S-US	First Community Bancshares	31983A10	Financials	264871
J9FDRP-S-US	Forest City Enterprises In	34555010	Financials	234645
SM6T5F-S-US	FuelCell Energy Inc.	35952H10	Industrials	231511
DKJ7SL-S-US	First Commonwealth Financi	31982910	Financials	235154
H2TSNS-S-US	First Cash Financial Servi	31942D10	Financials	235010
T1SX9M-S-US	FelCor Lodging Trust Inc.	31430F10	Financials	238839
NBBQ3R-S-US	FTI Consulting Inc.	30294110	Industrials	235144
M7415B-S-US	First Citizens BancShares	31946M10	Financials	235558
GRRNBV-S-US	Fairchild Semiconductor In	30372610	Information Technology	244447
MMRHSQ-S-US	Freeport-McMoRan Copper &	35671D85	Materials	235211
NXD1XP-S-US	First Defiance Financial C	32006W10	Financials	235670
THF6W2-S-US	Federal-Mogul Corp.	31354940	Consumer Discretionary	B29N9B
BT3WHZ-S-US	Family Dollar Stores Inc.	30700010	Consumer Discretionary	233122
Q0KLQ1-S-US	Fresh Del Monte Produce In	G3673810	Consumer Staples	211870
DJC0PL-S-US	FactSet Research Systems I	30307510	Information Technology	232977
SMQXXK-S-US	Fidus Investment Corp.	31650010	Financials	B3RV2F
HKM5XZ-S-US	FedEx Corp.	31428X10	Industrials	214278
TZ642P-S-US	FirstEnergy Corp.	33793210	Utilities	210092
J3RSTW-S-US	FEI Co.	30241L10	Information Technology	235576
CX2TQ4-S-US	Franklin Electric Co. Inc.	35351410	Industrials	235038
BXKN89-S-US	Forbes Energy Services Ltd	34514310	Energy	B6X0GW
N5F8HT-S-US	Forum Energy Technologies	34984V10	Energy	B4K4F4
LQDZCC-S-US	FutureFuel Corp.	36116M10	Materials	B3BBRD
J85ZGM-S-US	First Financial Bancorp (O	32020910	Financials	235280
K1158B-S-US	First Federal Bancshares O	32020F30	Financials	232926
J1JFJS-S-US	First Financial Holdings I	32023910	Financials	234137
WQK3R0-S-US	FBL Financial Group Inc.	30239F10	Financials	232908
M65CLH-S-US	Flushing Financial Corp.	34387310	Financials	236011
H448WS-S-US	First Financial Bankshares	32020R10	Financials	226602
GQM0CD-S-US	F5 Networks Inc.	31561610	Information Technology	242759
K7T4WJ-S-US	First Financial Northwest	32022K10	Financials	B28FZ9
BDJL3P-S-US	The Female Health Co.	31446210	Consumer Staples	297403
C0TNSZ-S-US	First Horizon National Cor	32051710	Financials	234148
S5HDZB-S-US	First Interstate BancSyste	32055Y20	Financials	B4RGHN
HR8H8H-S-US	Fair Isaac Corp.	30325010	Information Technology	233029
D54FSD-S-US	Federated Investors Inc.	31421110	Financials	224628
RMJ8CF-S-US	The Finish Line Inc.	31792310	Consumer Discretionary	234981
MN48BW-S-US	Fusion-Io Inc.	36112J10	Information Technology	B66QPT
S6S2HF-S-US	Sourcefire Inc.	83616T10	Information Technology	B1TX67
BZT3MC-S-US	Fidelity National Informat	31620M10	Information Technology	276979
HG6Z87-S-US	Financial Institutions Inc	31758540	Financials	259694
B00CQC-S-US	Fiserv Inc.	33773810	Information Technology	234203
HWZGPH-S-US	Fifth Third Bancorp	31677310	Financials	233674
K47Q7W-S-US	Five Below Inc.	33829M10	Consumer Discretionary	B85KFY
HMWTN8-S-US	Comfort Systems USA Inc.	19990810	Industrials	203604
H7K807-S-US	National Beverage Corp.	63501710	Consumer Staples	263862
B82TCD-S-US	Foot Locker Inc.	34484910	Consumer Discretionary	298090
G7VWNJ-S-US	Fluidigm Corp.	34385P10	Health Care	B3D32T
W5NBSG-S-US	First Of Long Island Corp.	32073410	Financials	235591
QTDDXH-S-US	FLIR Systems Inc.	30244510	Information Technology	234471
QMW11N-S-US	Flowers Foods Inc.	34349810	Consumer Staples	274424
GFJHG6-S-US	Flow International Corp.	34346810	Industrials	234363
MJBXDM-S-US	Fluor Corp.	34341210	Industrials	269683
PZF9CX-S-US	Flowserve Corp.	34354P10	Industrials	228840
D0SXB8-S-US	FleetCor Technologies Inc.	33904110	Information Technology	B4R28B
W5J3WN-S-US	FleetMatics Group Ltd.	G3556910	Information Technology	B4XKTT
P8R5H4-S-US	1-800-Flowers.Com Inc.	68243Q10	Consumer Discretionary	244412
JLK2WZ-S-US	Flexsteel Industries Inc.	33938210	Consumer Discretionary	234292
C9X8X8-S-US	First Midwest Bancorp Inc.	32086710	Financials	234143
VPS8DR-S-US	FMC Corp.	30249130	Materials	232860
G5LTXN-S-US	First Marblehead Corp.	32077110	Financials	283932
SD74Z3-S-US	FirstMerit Corp.	33791510	Financials	233943
BW90JZ-S-US	Farmers National Banc Corp	30962710	Financials	B019BK
X5H7XK-S-US	Fabrinet	G3323L10	Information Technology	B4JSZL
N3CZP9-S-US	F.N.B. Corp. (Pennsylvania	30252010	Financials	204130
VCMPFJ-S-US	Fidelity National Financia	31620R10	Financials	B0LL8N
RNPLNJ-S-US	First Niagara Financial Gr	33582V10	Financials	242117
RLGWR5-S-US	Financial Engines Inc.	31748510	Financials	B65V2X
DTGB3J-S-US	The First Bancorp Inc. (Ma	31866P10	Financials	235304
J61YJN-S-US	Fifth & Pacific Cos. Inc.	31664510	Consumer Discretionary	B87FD0
DVQ55Z-S-US	Finisar Corp.	31787A50	Information Technology	251783
BK6MRT-S-US	Ferro Corp.	31540510	Materials	233500
B3N5W7-S-US	Amicus Therapeutics Inc.	03152W10	Health Care	B19FQ4
NB5Z6F-S-US	Forestar Group Inc.	34623310	Financials	B29YGD
WXCXKP-S-US	FormFactor Inc.	34637510	Information Technology	289182
PRGWJR-S-US	Forrester Research Inc.	34656310	Information Technology	239885
FT88DQ-S-US	Fossil Group Inc.	34988V10	Consumer Discretionary	BBGT60
DSCKQV-S-US	21st Century Fox Inc.	90130A10	Consumer Discretionary	BBM4S6
V9F8ZB-S-US	First Potomac Realty Trust	33610F10	Financials	204145
L42028-S-US	First Industrial Realty Tr	32054K10	Financials	236075
MC807F-S-US	Francesca's Holdings Corp.	35179310	Consumer Discretionary	B4RM4H
L6TPMT-S-US	First Republic Bank Inc.	33616C10	Financials	B4WHY1
NZRWQZ-S-US	Fred's Inc.	35610810	Consumer Discretionary	235438
F647H9-S-US	Fortegra Financial Corp.	34954W10	Financials	B4VK05
WJT04Z-S-US	Fiesta Restaurant Group In	31660B10	Consumer Discretionary	B7V5P5
GRRDWM-S-US	Furmanite Corp.	36108610	Industrials	248362
RMCZ5D-S-US	First Merchants Corp. (Ind	32081710	Financials	234241
TGJ8KV-S-US	Franklin Financial Corp.	35353C10	Financials	B5BF21
MXPRKX-S-US	Frontline Ltd.	G3682E12	Energy	230263
K1HLY0-S-US	FairPoint Communications I	30556030	Telecommunication Serv	B4YR1W
P6MF2F-S-US	Frisch's Restaurants Inc.	35874810	Consumer Discretionary	235318
DLNFXM-S-US	Federal Realty Investment	31374720	Financials	233393
H3YXNR-S-US	Forest Laboratories Inc.	34583810	Health Care	234650
QXZQB2-S-US	Fifth Street Finance Corp.	31678A10	Financials	B39W7B
F2J5N0-S-US	Fisher Communications Inc.	33775620	Consumer Discretionary	264874
RDYBK5-S-US	Freescale Semiconductor Lt	G3727Q10	Information Technology	B4349B
D2YQMV-S-US	First Solar Inc.	33643310	Industrials	B1HMF2
B9572R-S-US	Franklin Street Properties	35471R10	Financials	B02T2D
LD1SNT-S-US	Federal Signal Corp.	31385510	Industrials	233398
JH4QZ3-S-US	Forest Oil Corp.	34609170	Energy	271212
HRDWNM-S-US	L.B. Foster Co.	35006010	Industrials	234822
GQJ0NL-S-US	Fuel Systems Solutions Inc	35952W10	Consumer Discretionary	B1CNCG
KGNGPN-S-US	FMC Technologies Inc.	30249U10	Energy	276356
QTJYKR-S-US	Flotek Industries Inc.	34338910	Materials	281655
X9YT9Q-S-US	Fortinet Inc.	3.50E+14	Information Technology	B5B210
HSJVBF-S-US	Frontier Communications Co	35906A10	Telecommunication Serv	219793
G8WK17-S-US	1st United Bancorp Inc. (F	33740N10	Financials	B2Q5S9
PP6F4M-S-US	H.B. Fuller Co.	35969410	Materials	235466
NXC56V-S-US	Fulton Financial Corp.	36027110	Financials	235658
SB4503-S-US	Winthrop Realty Trust Inc.	97639130	Financials	234076
PZKZ99-S-US	Furiex Pharmaceuticals Inc	36106P10	Health Care	B56Q87
W23QQL-S-US	Five Star Quality Care Inc	33832D10	Health Care	282615
X0NQR7-S-US	Forward Air Corp.	34985310	Industrials	251079
BJ3ZL7-S-US	Fox Chase Bancorp Inc.	35137T10	Financials	B3YRMP
XM8SFX-S-US	FXCM Inc.	30269310	Financials	B3YPMH
JMPF94-S-US	FX Energy Inc.	30269510	Energy	232840
VCNCR5-S-US	Genpact Ltd.	G3922B10	Information Technology	B23DBK
VDVGGZ-S-US	German American Bancorp In	37386510	Financials	250215
BYR5TG-S-US	Gladstone Investment Corp.	37654610	Financials	B0C1G4
X1RMD1-S-US	AGL Resources Inc.	120410	Utilities	206096
F2JBZ5-S-US	Greatbatch Inc.	39153L10	Health Care	264109
SYD5ND-S-US	Glacier Bancorp Inc.	37637Q10	Financials	237058
QBWXRS-S-US	Golub Capital BDC Inc.	38173M10	Financials	B60K6F
HHB176-S-US	GAMCO Investors Inc.	36143810	Financials	238682
FT7WPC-S-US	Global Indemnity Plc	G3931910	Financials	B5NH3H
TSGJC0-S-US	Guaranty Bancorp (Colorado	40075T60	Financials	B9XQFP
MS67GZ-S-US	Greenbrier Cos. Inc.	39365710	Industrials	238753
MJG3HM-S-US	Global Cash Access Holding	37896710	Information Technology	B0LFXJ
J3Z1WW-S-US	GAIN Capital Holdings Inc.	36268W10	Financials	B3YK24
W5NFZK-S-US	Gannett Co. Inc.	36473010	Consumer Discretionary	236030
X421M2-S-US	Genesco Inc.	37153210	Consumer Discretionary	236710
QJG66B-S-US	Globecomm Systems Inc.	37956X10	Information Technology	209574
DCZG4C-S-US	General Dynamics Corp.	36955010	Industrials	236516
RZW3DM-S-US	Gardner Denver Inc.	36555810	Industrials	237417
FG686T-S-US	Green Dot Corp.	39304D10	Financials	B3WNNP
LJK9RR-S-US	Goodrich Petroleum Corp.	38241040	Energy	220096
P321KV-S-US	General Electric Co.	36960410	Industrials	238049
GHV8BK-S-US	Greif Inc.	39762410	Materials	238801
LRCC8T-S-US	GEO Group Inc.	36159R10	Financials	294329
JCQ6T4-S-US	Geospace Technologies Corp	37364X10	Energy	B89MJ9
SM5DH3-S-US	Geron Corp.	37416310	Health Care	237038
F86595-S-US	Guess? Inc.	40161710	Consumer Discretionary	238710
SYF9TG-S-US	Synageva BioPharma Corp.	87159A10	Health Care	B5VY9M
Q7QVQR-S-US	Gevo Inc.	37439610	Energy	B5SBGV
JPY47K-S-US	Griffon Corp.	39843310	Industrials	246334
JJ5KNZ-S-US	GFI Group Inc.	36165220	Financials	B05KYY
K4FQLD-S-US	Graco Inc.	38410910	Industrials	238044
CVY7VR-S-US	General Growth Properties	37002310	Financials	B56VLR
DBSLZX-S-US	Global Geophysical Service	37946S10	Energy	B1CH2V
NPSFNN-S-US	Genomic Health Inc.	37244C10	Health Care	B0J2NP
N5NNGM-S-US	Greenhill & Co. Inc.	39525910	Financials	B00G8B
Q1PLFW-S-US	Graham Corp.	38455610	Industrials	238090
NBBGNJ-S-US	Gulf Island Fabrication In	40230710	Energy	241263
JLCX03-S-US	G-III Apparel Group Ltd.	36237H10	Consumer Discretionary	236972
